,name,company,year,Price,kms_driven,fuel_type
567,Datsun Redi GO,Datsun,2018,0.08794755700325732,0.0175,Petrol
568,Mercedes Benz C,Mercedes,2009,0.38925081433224756,0.19,Diesel
569,Mahindra Scorpio SLX,Mahindra,2004,0.04723127035830618,0.15000000000000002,Diesel
570,Volkswagen Vento Comfortline,Volkswagen,2011,0.05537459283387622,0.23750000000000002,Diesel
571,Tata Indigo CS,Tata,2017,0.0781758957654723,0.125,Diesel
572,Ford Figo Petrol,Ford,2019,0.16123778501628663,0.0,Petrol
573,Honda City ZX,Honda,2006,0.04885993485342019,0.125,Petrol
574,Maruti Suzuki Wagon,Maruti,2008,0.035830618892508145,0.17,Petrol
575,Ford EcoSport Trend,Ford,2014,0.12052117263843648,0.04,Petrol
576,Maruti Suzuki Swift,Maruti,2016,0.1527687296416938,0.1275,Diesel
577,Maruti Suzuki Omni,Maruti,2009,0.017915309446254073,0.14,Petrol
578,Maruti Suzuki Zen,Maruti,2004,0.013029315960912051,0.25,Petrol
579,Renault Duster RxL,Renault,2015,0.16938110749185667,0.09000000000000001,Petrol
580,Maruti Suzuki Swift,Maruti,2014,0.11074918566775244,0.028807500000000003,Petrol
581,Maruti Suzuki Baleno,Maruti,2018,0.21498371335504884,0.0025,Petrol
582,Honda WR V,Honda,2009,0.07166123778501628,0.15000000000000002,Petrol
583,Tata Indigo CS,Tata,2016,0.026058631921824105,0.21250000000000002,Diesel
584,Renault Duster 110,Renault,2013,0.1498371335504886,0.0965,Diesel
585,Mahindra Scorpio LX,Mahindra,2009,0.09446254071661238,0.23875000000000002,Diesel
586,Maruti Suzuki Zen,Maruti,2004,0.012377850162866449,0.14,Petrol
587,Maruti Suzuki Wagon,Maruti,2014,0.03257328990228013,0.093645,Petrol
588,Maruti Suzuki SX4,Maruti,2016,0.30618892508143325,0.2149,Diesel
589,Audi A3 Cabriolet,Audi,2015,1.0,0.031290000000000005,Petrol
590,Hyundai Eon D,Hyundai,2018,0.08143322475570032,0.08750000000000001,Petrol
